School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
P.S. 345 - BROOKLYN,K,19,PLANYC PLAYGROUND,"867,000",CIP,K345,111 BERRIMAN STREET,Brooklyn,11208,BROOKLYN ,40.676129,-73.880337,5,37,"1,192",3088734,3039900001,East New York                                                              ,"(40.676129, -73.880337)",11/13/2017
P.S. 333 - QUEENS,Q,27,REINFORCING/HEATING PLT/ELEC/FLOOD ELIM/CLIMATE CO,"12,990,000",CIP,Q198,3-65 BEACH 56 STREET,Queens,11692,QUEENS   ,40.593967,-73.786182,14,31,"97,204",4301929,4158940011,Hammels-Arverne-Edgemere                                                   ,"(40.593967, -73.786182)",
I.S. 5 - QUEENS,Q,24,HVAC/PUBLIC ADDRESS SYSTEM,"4,710,000",CIP,Q005,50-40 JACOBUS STREET,Queens,11373,QUEENS   ,40.737718,-73.887429,4,25,489,4454423,4024500017,Elmhurst-Maspeth                                                           ,"(40.737718, -73.887429)",
P.S. @ 4302 4TH AVENUE - BROOKLYN,K,15,New,0,CAP,K557,4302 4TH AVENUE,Brooklyn,11232,BROOKLYN ,40.650305,-74.008602,7,38,82,3337162,3007280036,Sunset Park West                                                           ,"(40.650305, -74.008602)",11/13/2017
P.S. 73 - BROOKLYN,K,23,EXT MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,"10,789,000",CIP,K073,251 MACDOUGAL STREET,Brooklyn,11233,BROOKLYN ,40.680318,-73.910644,16,37,369,3041561,3015280001,Ocean Hill                                                                 ,"(40.680318, -73.910644)",
P.S. 181 - QUEENS,Q,29,FLOORS & WALLS/ROOFS/PARAPETS/EXT MASONRY/FLOOD,"4,848,000",CIP,Q181,148-15 230 STREET,Queens,11413,QUEENS   ,40.656126,-73.753207,13,31,694,4291453,4137180001,Springfield Gardens South-Brookville                                       ,"(40.656126, -73.753207)",11/13/2017
P.S. 155 - BROOKLYN,K,23,ENY LIBRARY UPGRADE,"198,000",CIP,K155,1355 HERKIMER STREET,Brooklyn,11233,BROOKLYN ,40.677415,-73.908734,16,37,369,3042263,3015520043,Ocean Hill                                                                 ,"(40.677415, -73.908734)",11/13/2017
P.S. 251 - BROOKLYN,K,22,FY16 RESO A AUDITORIUM UPGRAD,"184,300",CIP,K251,1037 EAST 54 STREET,Brooklyn,11234,BROOKLYN ,40.632524,-73.924417,18,46,722,3214729,3077580001,Flatlands                                                                  ,"(40.632524, -73.924417)",
X186 SPED - BRONX,X,12,PARAPET/FLOOD ELIM/EXT MASONRY/ROOFS,"11,642,000",CIP,X136,750 JENNINGS STREET,Bronx,10459,BRONX    ,40.83182,-73.898075,3,16,151,2010344,2029690001,Morrisania-Melrose                                                         ,"(40.83182, -73.898075)",
P.S. 16 - QUEENS,Q,24,EXTERIOR MASONRY,"1,855,000",CIP,Q721,41-15 104 STREET,Queens,11368,QUEENS   ,40.748987,-73.86123,4,21,403,4048820,4019850001,North Corona                                                               ,"(40.748987, -73.86123)",11/13/2017
P.S. 247 - BROOKLYN,K,20,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,"7,093,000",CIP,K247,7000 21 AVENUE,Brooklyn,10301,K,,,,,,,,,,01/06/2022
P.S. 33 - QUEENS,Q,29,ROOF REPAIR/PARAPETS/EXTERIOR MASONRY,"8,860,557",CIP,Q033,91-37 222 STREET,Queens,11428,QUEENS   ,40.727134,-73.735077,13,23,560,4230589,4107560001,Queens Village                                                             ,"(40.727134, -73.735077)",11/13/2017
COAL. SCHOOL FOR SOCIAL CHANGE,M,4,FLOOD ELIMINATION/EXTERIOR MASONRY,"995,000",CIP,M045,2351 1ST AVENUE,Manhattan,10035,MANHATTAN,40.798884,-73.933319,11,8,194,1054786,1017970100,East Harlem North                                                          ,"(40.798884, -73.933319)",11/13/2017
P.S. 238 - BROOKLYN,K,21,EXTERIOR MASONRY/PARAPETS,"6,960,000",CIP,K238,1633 EAST 8 STREET,Brooklyn,11223,BROOKLYN ,40.608862,-73.965058,15,44,420,3176229,3066400013,Homecrest                                                                  ,"(40.608862, -73.965058)",11/13/2017
JAMES MADISON HS - BROOKLYN,K,22,SWIMMING POOL,"5,779,000",CIP,K425,3787 BEDFORD AVENUE,Brooklyn,11229,BROOKLYN ,40.609912,-73.948512,15,48,642,3182721,3067880001,Madison                                                                    ,"(40.609912, -73.948512)",11/13/2017
